Commodities,Countries,Country Subcode,Rate Provision,District,Time,Customs Value (Gen) ($US) (Default Member),Customs Value (Cons) ($US),Dutiable Value ($US),CIF Value (Gen) ($US),CIF Value (Cons) ($US),Calculated Duty($US),Quantity 1 (Gen),Quantity 1 (Cons),Quantity 2 (Gen),Quantity 2 (Cons),Customs Unit Value (Gen),Customs Unit Value (Cons),Card Count
"80 Tin And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2024","1352726","1352726","23713","1357735","1357735","665","","","","","","","17"
"80 Tin And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2023","12299551","12299551","38828","12368931","12368931","949","","","","","","","59"
"74 Copper And Articles Thereof","Japan","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","218332052","221074583","193015988","223900107","226654198","2807521","","","","","","","2233"
"74 Copper And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2024","344223060","343812148","279288362","356619779","356188605","5252666","","","","","","","5205"
"80 Tin And Articles Thereof","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2022","589779","589779","391819","620445","620445","9935","","","","","","","45"
"76 Aluminum And Articles Thereof","Cambodia","All Country Subcodes","All Rate Provisions","All Districts","2021","8739882","8809972","1286249","9539437","9609614","32457","","","","","","","1750"
"74 Copper And Articles Thereof","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","89639363","89623189","88219578","90880907","90863757","1210567","","","","","","","562"
"76 Aluminum And Articles Thereof","Burma","All Country Subcodes","All Rate Provisions","All Districts","2023","5759167","5759167","479111","6044577","6044577","14870","","","","","","","29"
"76 Aluminum And Articles Thereof","Mongolia","All Country Subcodes","All Rate Provisions","All Districts","2024","11800","11800","11800","11803","11803","295","","","","","","","1"
"75 Nickel And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","12864873","12867178","2363770","12988927","12991669","175292","","","","","","","139"
"74 Copper And Articles Thereof","Laos","All Country Subcodes","All Rate Provisions","All Districts","2024","6346","6346","6346","6596","6596","190","","","","","","","1"
"74 Copper And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2021","458509401","458728071","26741300","470370569","470590902","565275","","","","","","","5251"
"74 Copper And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2023","3302592","3291648","2922365","3362658","3351713","79479","","","","","","","83"
"74 Copper And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2023","591814791","591889334","24946273","602815050","602896616","459022","","","","","","","7326"
"74 Copper And Articles Thereof","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2022","99992092","99822845","88090276","103192268","103023945","2439618","","","","","","","2511"
"74 Copper And Articles Thereof","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","158726094","158857819","131050208","164271350","164376995","3835270","","","","","","","7374"
"75 Nickel And Articles Thereof","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2022","32504499","33314293","28849222","33156211","34618159","863571","","","","","","","1919"
"75 Nickel And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2024","15257124","15290182","3669672","15716384","15746954","95858","","","","","","","401"
"74 Copper And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2022","20945864","20926664","890284","22774060","22754612","26075","","","","","","","526"
"75 Nickel And Articles Thereof","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2024","14733659","16302970","14200652","14869446","16401102","425864","","","","","","","385"
"80 Tin And Articles Thereof","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2024","1561669","1561669","192926","1591925","1591925","4574","","","","","","","30"
"76 Aluminum And Articles Thereof","Laos","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","112651","112651","112651","119251","119251","22880","","","","","","","2"
"75 Nickel And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2022","122904","122904","122904","126397","126397","3415","","","","","","","7"
"75 Nickel And Articles Thereof","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2021","2121985","2121985","742794","2175961","2175961","21731","","","","","","","141"
"74 Copper And Articles Thereof","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2023","18118809","18118809","3524083","18639614","18639614","103424","","","","","","","696"
"76 Aluminum And Articles Thereof","Mongolia","All Country Subcodes","All Rate Provisions","All Districts","2021","41331","41331","0","41481","41481","0","","","","","","","1"
"74 Copper And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","476948037","471960732","116357687","483545976","478477632","1793130","","","","","","","5814"
"74 Copper And Articles Thereof","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2024","243887815","245479998","192210084","252122091","253711789","4559525","","","","","","","13292"
"76 Aluminum And Articles Thereof","Japan","All Country Subcodes","All Rate Provisions","All Districts","2024","201534943","177778584","172787660","209077555","185160493","15462141","","","","","","","5049"
"74 Copper And Articles Thereof","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2021","30267041","30267041","26764003","31370598","31370598","432826","","","","","","","582"
"75 Nickel And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2024","884388","579789","455235","893112","584525","12041","","","","","","","52"
"75 Nickel And Articles Thereof","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","32618621","38685567","37700175","32956502","41199985","1399364","","","","","","","1581"
"76 Aluminum And Articles Thereof","Cambodia","All Country Subcodes","All Rate Provisions","All Districts","2024","22819138","22819138","7338829","24472321","24472321","537819","","","","","","","1554"
"74 Copper And Articles Thereof","Japan","All Country Subcodes","All Rate Provisions","All Districts","2021","222467426","208792236","125356071","228759592","214891001","2656560","","","","","","","5123"
"76 Aluminum And Articles Thereof","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2022","195926147","196006535","195503240","216001686","216088308","14066819","","","","","","","4152"
"80 Tin And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2023","67136","67136","28131","74158","74158","618","","","","","","","8"
"76 Aluminum And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2021","619186643","610846473","558659214","674561823","665272225","23225286","","","","","","","8769"
"74 Copper And Articles Thereof","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","7899927","7902583","7702019","7979684","7982375","80916","","","","","","","32"
"75 Nickel And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","379308","0","0","409308","0","0","","","","","","","1"
"75 Nickel And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2021","3886616","3886616","600825","4042936","4042936","17781","","","","","","","145"
"75 Nickel And Articles Thereof","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2023","7605","7605","7605","7749","7749","198","","","","","","","1"
"80 Tin And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2024","1018253","1018253","0","1026253","1026253","0","","","","","","","2"
"80 Tin And Articles Thereof","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","38693","38693","38693","43122","43122","2049","","","","","","","4"
"80 Tin And Articles Thereof","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2021","53750","53750","0","61750","61750","0","","","","","","","3"
"76 Aluminum And Articles Thereof","Japan","All Country Subcodes","All Rate Provisions","All Districts","2023","203304719","197228014","196335925","211484440","205547240","17624458","","","","","","","6174"
"74 Copper And Articles Thereof","Macau","All Country Subcodes","All Rate Provisions","All Districts","2022","185961","185961","185961","186976","186976","5580","","","","","","","9"
"80 Tin And Articles Thereof","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","11470","11470","0","15470","15470","0","","","","","","","1"
"76 Aluminum And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","3945779","2662177","2265712","4085650","2801918","409288","","","","","","","284"
"76 Aluminum And Articles Thereof","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2021","250300727","249568060","245280772","269030215","268291120","12800205","","","","","","","14832"
"75 Nickel And Articles Thereof","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","6191","6191","6191","6262","6262","806","","","","","","","1"
"75 Nickel And Articles Thereof","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2022","11834","11834","11834","12934","12934","355","","","","","","","2"
"76 Aluminum And Articles Thereof","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2021","9766849","9769902","4183635","11399384","11402477","230857","","","","","","","328"
"76 Aluminum And Articles Thereof","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","103980135","103073980","101470225","109340918","108418869","16952432","","","","","","","6339"
"74 Copper And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2024","25377765","25376605","815852","27108984","27107809","22812","","","","","","","457"
"75 Nickel And Articles Thereof","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2023","50990996","54980610","52163937","51650074","57224800","1552686","","","","","","","2476"
"75 Nickel And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2023","1951538","1900634","1591994","1969992","1918426","42680","","","","","","","52"
"80 Tin And Articles Thereof","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","859556","859556","63662","878441","878441","3181","","","","","","","20"
"76 Aluminum And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2021","456384428","444278818","121500649","490965757","478799836","10824734","","","","","","","9182"
"76 Aluminum And Articles Thereof","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2021","317950952","317017489","314033664","341596574","340644276","12180001","","","","","","","12975"
"80 Tin And Articles Thereof","Japan","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","11897502","11962441","10706259","11973317","12045209","421781","","","","","","","182"
"74 Copper And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2021","2091315","2109287","1922915","2310716","2329147","40604","","","","","","","103"
"74 Copper And Articles Thereof","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2024","129363837","128142078","119555691","132746699","131527986","3397495","","","","","","","2771"
"75 Nickel And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2021","10088189","10088189","1705680","10307591","10307591","50816","","","","","","","191"
"76 Aluminum And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2022","35427276","35412225","35324281","38399261","38275958","4237800","","","","","","","1364"
"76 Aluminum And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2022","970970438","961507126","332392688","1026017254","1015831654","30430780","","","","","","","9697"
"76 Aluminum And Articles Thereof","Brunei","All Country Subcodes","All Rate Provisions","All Districts","2022","3631","3631","3631","10492","10492","207","","","","","","","1"
"80 Tin And Articles Thereof","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2024","1298432","1298432","801443","1371671","1371671","17863","","","","","","","65"
"75 Nickel And Articles Thereof","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2022","18805878","18951463","16851453","19343005","19508096","477699","","","","","","","1216"
