Commodities,Countries,Country Subcode,Rate Provision,District,Time,Customs Value (Gen) ($US) (Default Member),Customs Value (Cons) ($US),Quantity 1 (Gen),Quantity 1 (Cons),Quantity 2 (Gen),Quantity 2 (Cons),Card Count
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2014","468461","468461","","","","","13"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2016","796905","796905","","","","","49"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2019","786764","786764","","","","","7"
"2801 Fluorine, Chlorine, Bromine & Iodine","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2020","353867","353867","","","","","8"
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2015","204244","204244","","","","","11"
"2820 Manganese Oxides","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2019","1160013","1160013","","","","","25"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2020","1362455","1362455","","","","","8"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2013","379671","379671","","","","","16"
"2606 Aluminum Ores And Concentrates","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2012","652980","652980","","","","","9"
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2018","801725","801725","","","","","27"
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2014","180750","180750","","","","","4"
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2015","4040735","4040735","","","","","27"
"2504 Natural Graphite","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2014","1033841","1033841","","","","","27"
"2801 Fluorine, Chlorine, Bromine & Iodine","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2013","28100","28100","","","","","2"
"2614 Titanium Ores And Concentrates","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2016","87558","87558","","","","","2"
"2606 Aluminum Ores And Concentrates","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2013","172800","172800","","","","","2"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2018","383765","426061","","","","","30"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2015","890406","890406","","","","","54"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2014","108646","108646","","","","","4"
"2614 Titanium Ores And Concentrates","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2015","216157","216157","","","","","3"
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2013","9584903","9584903","","","","","47"
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2012","11566","11566","","","","","1"
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2018","34912","34912","","","","","6"
"2504 Natural Graphite","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2018","3522174","3522174","","","","","38"
"3910 Silicones, In Primary Forms","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2020","3286228","3286228","","","","","119"
"3910 Silicones, In Primary Forms","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2018","4834372","4834372","","","","","110"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2020","3771642","3771642","","","","","7"
"2504 Natural Graphite","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2016","848774","848774","","","","","22"
"2604 Nickel Ores And Concentrates","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2016","6921","6921","","","","","2"
"2604 Nickel Ores And Concentrates","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2012","2322","2322","","","","","1"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2013","7487360","7487360","","","","","155"
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2012","8407368","8407368","","","","","35"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2015","213180","213180","","","","","2"
"3910 Silicones, In Primary Forms","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2014","2140316","2140316","","","","","45"
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2011","7381574","7381574","","","","","22"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2012","354500","354500","","","","","4"
"3910 Silicones, In Primary Forms","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2011","750550","750550","","","","","21"
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2013","6580","6580","","","","","1"
"2606 Aluminum Ores And Concentrates","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2016","1775053","1775053","","","","","28"
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2012","29181","29181","","","","","5"
"2820 Manganese Oxides","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2013","144515","144515","","","","","5"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2011","917102","917102","","","","","3"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2018","11002577","11002577","","","","","173"
"2504 Natural Graphite","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2012","1034210","1034210","","","","","29"
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2020","751421","751421","","","","","14"
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2016","3428209","3428209","","","","","23"
"2603 Copper Ores And Concentrates","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2016","6560","6560","","","","","2"
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2017","2227637","2227637","","","","","14"
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2016","31200","31200","","","","","2"
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2011","8116817","8116817","","","","","31"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2017","4770986","4770986","","","","","154"
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2020","36446","36446","","","","","12"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2016","13471","13471","","","","","2"
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2011","4816","4816","","","","","1"
"2606 Aluminum Ores And Concentrates","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2018","831874","831874","","","","","17"
"2820 Manganese Oxides","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2014","138558","138558","","","","","6"
"2801 Fluorine, Chlorine, Bromine & Iodine","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2016","15920","15920","","","","","4"
"2614 Titanium Ores And Concentrates","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2017","141688","141688","","","","","2"
"2606 Aluminum Ores And Concentrates","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2019","47625","47625","","","","","1"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2013","253437","253437","","","","","5"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2018","2906625","2906625","","","","","2"
"3910 Silicones, In Primary Forms","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2019","4064638","4064638","","","","","108"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2012","1463558","1463558","","","","","33"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2016","376791","376791","","","","","2"
"2801 Fluorine, Chlorine, Bromine & Iodine","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2015","9700","9700","","","","","3"
"2504 Natural Graphite","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2019","602726","602726","","","","","16"
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2014","7037026","7037026","","","","","39"
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2017","10618709","10618709","","","","","60"
"2820 Manganese Oxides","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2016","432450","466334","","","","","20"
"3910 Silicones, In Primary Forms","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2013","2905982","2905982","","","","","72"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2011","302320","302320","","","","","5"
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2018","5640","5640","","","","","1"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2014","515898","515898","","","","","26"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2012","1966053","1966053","","","","","4"
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2016","5351796","5351796","","","","","42"
"2504 Natural Graphite","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2013","917994","917994","","","","","24"
"2820 Manganese Oxides","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2020","685249","685249","","","","","10"
"2801 Fluorine, Chlorine, Bromine & Iodine","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2018","5000","5000","","","","","2"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2019","7000020","7000020","","","","","83"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2018","458546","458546","","","","","2"
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2020","2451858","2451858","","","","","21"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2012","1483022","1483022","","","","","8"
"2606 Aluminum Ores And Concentrates","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2011","470534","470534","","","","","9"
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2014","1559452","1559452","","","","","6"
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2015","17989","17989","","","","","2"
"2504 Natural Graphite","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2011","1241801","1241801","","","","","34"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2020","1178800","1260535","","","","","141"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2018","1567341","1567341","","","","","107"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2014","219242","219242","","","","","3"
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2019","10278673","10278673","","","","","69"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2015","2364279","2364279","","","","","101"
"2606 Aluminum Ores And Concentrates","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2014","85000","85000","","","","","1"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2011","4540877","5832233","","","","","28"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2019","6903995","6903995","","","","","3"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2015","256255","256255","","","","","8"
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2017","2106","2106","","","","","1"
"2801 Fluorine, Chlorine, Bromine & Iodine","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2019","26466","26466","","","","","6"
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2020","8645919","8645919","","","","","76"
"3910 Silicones, In Primary Forms","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2015","2287745","2287745","","","","","52"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2015","2981","2981","","","","","1"
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2016","65148","65148","","","","","5"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2016","1312693","1312693","","","","","38"
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2018","1851832","1851832","","","","","15"
"2504 Natural Graphite","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2020","102899","102899","","","","","3"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2011","9935586","9935586","","","","","195"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2013","64890","64890","","","","","2"
"2504 Natural Graphite","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2017","844280","844280","","","","","22"
"2614 Titanium Ores And Concentrates","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2019","3750","3750","","","","","1"
"2801 Fluorine, Chlorine, Bromine & Iodine","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2011","244600","244600","","","","","2"
"2820 Manganese Oxides","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2011","51642","51642","","","","","5"
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2014","22715","22715","","","","","1"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2017","1044907","1039507","","","","","62"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2012","15267027","15267027","","","","","265"
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2018","13580969","13580969","","","","","77"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2017","370921","370921","","","","","16"
"2820 Manganese Oxides","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2018","379452","379452","","","","","26"
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2015","116364","116364","","","","","6"
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2013","178374","178374","","","","","7"
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2012","87685525","87734065","","","","","584"
"8110 Antimony And Artcls Throf Incl Waste And Scrap","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2013","46428785","46666209","","","","","232"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2012","261772183","261862026","","","","","1510"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2020","14121280","14121280","","","","","12"
"2504 Natural Graphite","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2012","56521267","56521267","","","","","1594"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2018","12705660","12705660","","","","","16"
"2801 Fluorine, Chlorine, Bromine & Iodine","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2020","184591609","184591609","","","","","2484"
"2614 Titanium Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2013","302258325","302258325","","","","","102"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2016","830635792","830635792","","","","","803"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2018","1629315034","1629315034","","","","","1094"
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2011","87495260","86951505","","","","","577"
"2820 Manganese Oxides","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2014","19473254","19473254","","","","","288"
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2018","81792632","80772730","","","","","5197"
"3910 Silicones, In Primary Forms","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2012","231803394","229478084","","","","","7271"
"2605 Cobalt Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2017","196240","196240","","","","","2"
"2614 Titanium Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2016","121516236","121516236","","","","","90"
"2604 Nickel Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2018","114439","114439","","","","","5"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2014","83475913","83475913","","","","","1876"
"2603 Copper Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2011","226228582","143332582","","","","","2022"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2017","13685511","13685511","","","","","10"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2020","127822372","125311157","","","","","1144"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2020","2940968583","2940968583","","","","","1140"
"2801 Fluorine, Chlorine, Bromine & Iodine","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2012","312962183","312962183","","","","","4475"
"2606 Aluminum Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2020","21700374","21700374","","","","","82"
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2011","114850224","114850224","","","","","3172"
"2820 Manganese Oxides","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2015","20103040","20103040","","","","","310"
"2606 Aluminum Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2019","20907942","20907942","","","","","133"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2011","118078177","118078177","","","","","1929"
"2504 Natural Graphite","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2014","60094695","60094695","","","","","1831"
"3910 Silicones, In Primary Forms","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2017","288085343","285590014","","","","","9771"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2011","1278769865","1278835024","","","","","951"
"2603 Copper Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2012","99182726","29522726","","","","","1253"
"2605 Cobalt Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2012","692673","692673","","","","","6"
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2014","72179310","72164881","","","","","2389"
"2820 Manganese Oxides","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2019","11474086","11474086","","","","","185"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2020","216732217","216676355","","","","","1974"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2016","142930009","142402056","","","","","1669"
"2605 Cobalt Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2019","135222","135222","","","","","2"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2016","5466811","5466811","","","","","7"
"2504 Natural Graphite","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2013","55786123","55786123","","","","","1699"
"2604 Nickel Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2014","242191","242191","","","","","21"
"2605 Cobalt Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2016","506272","506272","","","","","5"
"2614 Titanium Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2014","137976209","137976209","","","","","71"
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2020","562849016","561492052","","","","","23040"
"2504 Natural Graphite","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2019","43919428","43844699","","","","","1686"
"2605 Cobalt Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2014","247149","247149","","","","","3"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2015","220304745","217750377","","","","","1434"
"3910 Silicones, In Primary Forms","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2015","224397027","222965344","","","","","8109"
"2504 Natural Graphite","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2011","70478753","70478753","","","","","1650"
"8110 Antimony And Artcls Throf Incl Waste And Scrap","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2012","49642469","49289579","","","","","190"
"3910 Silicones, In Primary Forms","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2013","210434382","208999206","","","","","6489"
"2603 Copper Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2016","145287048","207048","","","","","2058"
"2801 Fluorine, Chlorine, Bromine & Iodine","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2011","337433298","337433298","","","","","4927"
"2504 Natural Graphite","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2015","44775131","44775131","","","","","1307"
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2018","37501019","37673546","","","","","400"
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2016","620386980","620530005","","","","","19281"
"2603 Copper Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2019","153002522","148466522","","","","","1798"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2012","549132548","576059337","","","","","4263"
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2019","64684395","60764437","","","","","500"
"2606 Aluminum Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2011","27012602","27012602","","","","","76"
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2018","807004738","806492395","","","","","26883"
"3910 Silicones, In Primary Forms","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2016","215700725","214437784","","","","","8880"
"2820 Manganese Oxides","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2017","24889521","24889521","","","","","324"
